session_id,set_id,project,chosen_stage,max_rejected_stage,chosen_path,rejected_paths,timestamp
20251004_231807,group_28,mojo1,1,2,/Users/eriksjaastad/projects/Eros Mate/mojo1/20250708_064118_stage1_generated.png,['/Users/eriksjaastad/projects/Eros Mate/mojo1/20250708_064232_stage2_upscaled.png'],2025-10-05T03:25:40.984589Z
20251004_231807,group_63,mojo1,1,2,/Users/eriksjaastad/projects/Eros Mate/mojo1/20250708_074014_stage1_generated.png,['/Users/eriksjaastad/projects/Eros Mate/mojo1/20250708_074127_stage2_upscaled.png'],2025-10-05T03:25:45.709482Z
20251004_231807,group_66,mojo1,1,2,/Users/eriksjaastad/projects/Eros Mate/mojo1/20250708_074517_stage1_generated.png,['/Users/eriksjaastad/projects/Eros Mate/mojo1/20250708_074631_stage2_upscaled.png'],2025-10-05T03:25:46.092660Z
20251004_233250,group_18,mojo1,1,2,/Users/eriksjaastad/projects/Eros Mate/mojo1/20250708_092050_stage1_generated.png,['/Users/eriksjaastad/projects/Eros Mate/mojo1/20250708_092203_stage2_upscaled.png'],2025-10-05T03:34:06.902675Z
20251005_103701,group_11,mojo1,1,2,/Users/eriksjaastad/projects/Eros Mate/mojo1/20250708_093054_stage1_generated.png,['/Users/eriksjaastad/projects/Eros Mate/mojo1/20250708_093208_stage2_upscaled.png'],2025-10-05T14:47:55.800292Z
20251012_211928,group_124,mojo2,1,3,/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_051414_stage1_generated.png,"['/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_051530_stage2_upscaled.png', '/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_051728_stage3_enhanced.png']",2025-10-13T01:43:14.936380Z
20251012_211928,group_141,mojo2,1,3,/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_061605_stage1_generated.png,"['/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_061721_stage2_upscaled.png', '/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_061906_stage3_enhanced.png']",2025-10-13T01:43:15.321006Z
20251012_211928,group_142,mojo2,1,3,/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_061936_stage1_generated.png,"['/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_062052_stage2_upscaled.png', '/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_062230_stage3_enhanced.png']",2025-10-13T01:43:15.344148Z
20251012_211928,group_158,mojo2,2,3,/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_071723_stage2_upscaled.png,"['/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_071607_stage1_generated.png', '/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_071902_stage3_enhanced.png']",2025-10-13T01:43:15.683484Z
20251012_211928,group_159,mojo2,1,3,/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_071932_stage1_generated.png,"['/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_072048_stage2_upscaled.png', '/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_072233_stage3_enhanced.png']",2025-10-13T01:43:15.703706Z
20251012_211928,group_198,mojo2,2,3,/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_094037_stage2_upscaled.png,"['/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_093920_stage1_generated.png', '/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_094217_stage3_enhanced.png']",2025-10-13T01:43:16.451821Z
20251012_211928,group_368,mojo2,2,3,/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_213141_stage2_upscaled.png,"['/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_213007_stage1_generated.png', '/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_213024_stage1.5_face_swapped.png', '/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_213332_stage3_enhanced.png']",2025-10-13T02:26:23.758733Z
20251012_211928,group_369,mojo2,2,3,/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_213532_stage2_upscaled.png,"['/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_213402_stage1_generated.png', '/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_213415_stage1.5_face_swapped.png', '/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_213724_stage3_enhanced.png']",2025-10-13T02:26:23.763761Z
20251012_211928,group_374,mojo2,2,3,/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_215434_stage2_upscaled.png,"['/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_215305_stage1_generated.png', '/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_215317_stage1.5_face_swapped.png', '/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_215620_stage3_enhanced.png']",2025-10-13T02:26:23.789480Z
20251012_211928,group_375,mojo2,2,3,/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_215824_stage2_upscaled.png,"['/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_215649_stage1_generated.png', '/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_215707_stage1.5_face_swapped.png', '/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_220009_stage3_enhanced.png']",2025-10-13T02:26:23.793508Z
20251012_211928,group_376,mojo2,2,3,/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_220214_stage2_upscaled.png,"['/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_220039_stage1_generated.png', '/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_220057_stage1.5_face_swapped.png', '/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_220353_stage3_enhanced.png']",2025-10-13T02:26:23.797528Z
20251012_211928,group_377,mojo2,2,3,/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_220555_stage2_upscaled.png,"['/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_220423_stage1_generated.png', '/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_220438_stage1.5_face_swapped.png', '/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_220734_stage3_enhanced.png']",2025-10-13T02:26:23.801237Z
20251012_211928,group_380,mojo2,2,3,/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_221741_stage2_upscaled.png,"['/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_221607_stage1_generated.png', '/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_221624_stage1.5_face_swapped.png', '/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_221920_stage3_enhanced.png']",2025-10-13T02:26:23.812168Z
20251012_211928,group_382,mojo2,2,3,/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_222520_stage2_upscaled.png,"['/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_222349_stage1_generated.png', '/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_222403_stage1.5_face_swapped.png', '/Users/eriksjaastad/projects/Eros Mate/mojo2/faces/20250706_222712_stage3_enhanced.png']",2025-10-13T02:26:23.819302Z
20251012_211928,group_425,mojo2,1,2,/Users/eriksjaastad/projects/Eros Mate/mojo2/lindsay/20250708_064412_stage1_generated.png,['/Users/eriksjaastad/projects/Eros Mate/mojo2/lindsay/20250708_064529_stage2_upscaled.png'],2025-10-13T02:35:34.873441Z
20251012_211928,group_482,mojo2,1,2,/Users/eriksjaastad/projects/Eros Mate/mojo2/lindsay/20250708_085729_stage1_generated.png,['/Users/eriksjaastad/projects/Eros Mate/mojo2/lindsay/20250708_085845_stage2_upscaled.png'],2025-10-13T02:35:35.087431Z
20251012_211928,group_507,mojo2,1,2,/Users/eriksjaastad/projects/Eros Mate/mojo2/lindsay/20250708_094113_stage1_generated.png,['/Users/eriksjaastad/projects/Eros Mate/mojo2/lindsay/20250708_094230_stage2_upscaled.png'],2025-10-13T02:49:24.998274Z
20251012_211928,group_511,mojo2,1,2,/Users/eriksjaastad/projects/Eros Mate/mojo2/lindsay/20250708_094814_stage1_generated.png,['/Users/eriksjaastad/projects/Eros Mate/mojo2/lindsay/20250708_094931_stage2_upscaled.png'],2025-10-13T02:49:25.008320Z
