session_id,set_id,directory,chosen_path,chosen_stage,timestamp,time_diff_days,raw_mtime,final_mtime
mojo1_historical,20250728_040606,mojo1,/Users/eriksjaastad/projects/Eros Mate/training data/mojo1_final/_young brunette curly/20250728_040606_stage1.5_face_swapped.png,1.5,20250728_040606,67.59576388888888,2025-07-28T04:06:06+00:00,2025-10-03T18:24:00+00:00
mojo1_historical,20250725_183405,mojo1,/Users/eriksjaastad/projects/Eros Mate/training data/mojo1_final/_young brunette curly/20250725_183405_stage1.5_face_swapped.png,1.5,20250725_183405,75.05832175925926,2025-07-25T18:34:05+00:00,2025-10-08T19:58:04+00:00
mojo1_historical,20250726_131100,mojo1,/Users/eriksjaastad/projects/Eros Mate/training data/mojo1_final/_young brunette curly/20250726_131100_stage1.5_face_swapped.png,1.5,20250726_131100,75.95041666666667,2025-07-26T13:11:00+00:00,2025-10-10T11:59:36+00:00
mojo1_historical,20250726_113945,mojo1,/Users/eriksjaastad/projects/Eros Mate/training data/mojo1_final/_young brunette curly/20250726_113945_stage1.5_face_swapped.png,1.5,20250726_113945,75.98010416666666,2025-07-26T11:39:45+00:00,2025-10-10T11:11:06+00:00
mojo1_historical,20250727_150304,mojo1,/Users/eriksjaastad/projects/Eros Mate/training data/mojo1_final/_young brunette curly/20250727_150304_stage1.5_face_swapped.png,1.5,20250727_150304,75.32501157407407,2025-07-27T15:03:05+00:00,2025-10-10T22:51:06+00:00
mojo1_historical,20250727_225437,mojo1,/Users/eriksjaastad/projects/Eros Mate/training data/mojo1_final/_young brunette curly/20250727_225437_stage1.5_face_swapped.png,1.5,20250727_225437,67.76375,2025-07-27T22:54:38+00:00,2025-10-03T17:14:26+00:00
mojo1_historical,20250725_151408,mojo1,/Users/eriksjaastad/projects/Eros Mate/training data/mojo1_final/_young brunette curly/20250725_151408_stage1.5_face_swapped.png,1.5,20250725_151408,68.86296296296297,2025-07-25T15:14:08+00:00,2025-10-02T11:56:48+00:00
mojo1_historical,20250728_034427,mojo1,/Users/eriksjaastad/projects/Eros Mate/training data/mojo1_final/_young brunette curly/20250728_034427_stage1.5_face_swapped.png,1.5,20250728_034427,67.60730324074073,2025-07-28T03:44:27+00:00,2025-10-03T18:18:58+00:00
mojo1_historical,20250727_144902,mojo1,/Users/eriksjaastad/projects/Eros Mate/training data/mojo1_final/_young brunette curly/20250727_144902_stage1.5_face_swapped.png,1.5,20250727_144902,75.33155092592592,2025-07-27T14:49:02+00:00,2025-10-10T22:46:28+00:00
mojo1_historical,20250728_022406,mojo1,/Users/eriksjaastad/projects/Eros Mate/training data/mojo1_final/_young brunette curly/20250728_022406_stage1.5_face_swapped.png,1.5,20250728_022406,74.9847337962963,2025-07-28T02:24:07+00:00,2025-10-11T02:02:08+00:00
mojo1_historical,20250727_165236,mojo1,/Users/eriksjaastad/projects/Eros Mate/training data/mojo1_final/_young brunette curly/20250727_165236_stage1.5_face_swapped.png,1.5,20250727_165236,75.27568287037037,2025-07-27T16:52:37+00:00,2025-10-10T23:29:36+00:00
mojo1_historical,20250727_072603,mojo1,/Users/eriksjaastad/projects/Eros Mate/training data/mojo1_final/_young brunette curly/20250727_072603_stage1.5_face_swapped.png,1.5,20250727_072603,75.52792824074074,2025-07-27T07:26:03+00:00,2025-10-10T20:06:16+00:00
mojo1_historical,20250726_090757,mojo1,/Users/eriksjaastad/projects/Eros Mate/training data/mojo1_final/_young brunette curly/20250726_090757_stage1.5_face_swapped.png,1.5,20250726_090757,76.05534722222222,2025-07-26T09:07:58+00:00,2025-10-10T10:27:40+00:00
mojo1_historical,20250725_155545,mojo1,/Users/eriksjaastad/projects/Eros Mate/training data/mojo1_final/_young brunette curly/20250725_155545_stage1.5_face_swapped.png,1.5,20250725_155545,75.22434027777778,2025-07-25T15:55:45+00:00,2025-10-08T21:18:48+00:00
mojo1_historical,20250725_162555,mojo1,/Users/eriksjaastad/projects/Eros Mate/training data/mojo1_final/_young brunette curly/20250725_162555_stage1.5_face_swapped.png,1.5,20250725_162555,75.20539351851852,2025-07-25T16:25:56+00:00,2025-10-08T21:21:42+00:00
mojo1_historical,20250728_034918,mojo1,/Users/eriksjaastad/projects/Eros Mate/training data/mojo1_final/_young brunette curly/20250728_034918_stage1.5_face_swapped.png,1.5,20250728_034918,67.60425925925927,2025-07-28T03:49:18+00:00,2025-10-03T18:19:26+00:00
mojo1_historical,20250728_044654,mojo1,/Users/eriksjaastad/projects/Eros Mate/training data/mojo1_final/_young brunette curly/20250728_044654_stage1.5_face_swapped.png,1.5,20250728_044654,75.27637731481481,2025-07-28T04:46:55+00:00,2025-10-11T11:24:54+00:00
mojo1_historical,20250727_200642,mojo1,/Users/eriksjaastad/projects/Eros Mate/training data/mojo1_final/_young brunette curly/20250727_200642_stage1.5_face_swapped.png,1.5,20250727_200642,75.18068287037038,2025-07-27T20:06:43+00:00,2025-10-11T00:26:54+00:00
mojo1_historical,20250725_100526,mojo1,/Users/eriksjaastad/projects/Eros Mate/training data/mojo1_final/_young brunette curly/20250725_100526_stage2_upscaled.png,2.0,20250725_100526,75.44625,2025-07-25T10:05:28+00:00,2025-10-08T20:48:04+00:00
mojo1_historical,20250727_131659,mojo1,/Users/eriksjaastad/projects/Eros Mate/training data/mojo1_final/_young brunette curly/20250727_131659_stage1.5_face_swapped.png,1.5,20250727_131659,67.29828703703704,2025-07-27T13:17:00+00:00,2025-10-02T20:26:32+00:00
mojo1_historical,20250725_224501,mojo1,/Users/eriksjaastad/projects/Eros Mate/training data/mojo1_final/_young brunette curly/20250725_224501_stage1.5_face_swapped.png,1.5,20250725_224501,75.03903935185186,2025-07-25T22:45:01+00:00,2025-10-08T23:41:14+00:00
mojo1_historical,20250728_020904,mojo1,/Users/eriksjaastad/projects/Eros Mate/training data/mojo1_final/_young brunette curly/20250728_020904_stage1.5_face_swapped.png,1.5,20250728_020904,74.99472222222222,2025-07-28T02:09:04+00:00,2025-10-11T02:01:28+00:00
mojo1_historical,20250728_004714,mojo1,/Users/eriksjaastad/projects/Eros Mate/training data/mojo1_final/_young brunette curly/20250728_004714_stage1.5_face_swapped.png,1.5,20250728_004714,75.04101851851851,2025-07-28T00:47:14+00:00,2025-10-11T01:46:18+00:00
mojo1_historical,20250726_100108,mojo1,/Users/eriksjaastad/projects/Eros Mate/training data/mojo1_final/_young brunette curly/20250726_100108_stage1.5_face_swapped.png,1.5,20250726_100108,76.02863425925926,2025-07-26T10:01:08+00:00,2025-10-10T10:42:22+00:00
mojo1_historical,20250725_101736,mojo1,/Users/eriksjaastad/projects/Eros Mate/training data/mojo1_final/_young brunette curly/20250725_101736_stage2_upscaled.png,2.0,20250725_101736,75.44052083333334,2025-07-25T10:17:37+00:00,2025-10-08T20:51:58+00:00
mojo1_historical,20250727_213835,mojo1,/Users/eriksjaastad/projects/Eros Mate/training data/mojo1_final/_young brunette curly/20250727_213835_stage1.5_face_swapped.png,1.5,20250727_213835,75.14103009259259,2025-07-27T21:38:35+00:00,2025-10-11T01:01:40+00:00
mojo1_historical,20250725_145150,mojo1,/Users/eriksjaastad/projects/Eros Mate/training data/mojo1_final/_young brunette curly/20250725_145150_stage1.5_face_swapped.png,1.5,20250725_145150,75.26396990740741,2025-07-25T14:51:51+00:00,2025-10-08T21:11:58+00:00
mojo1_historical,20250727_125424,mojo1,/Users/eriksjaastad/projects/Eros Mate/training data/mojo1_final/_young brunette curly/20250727_125424_stage1.5_face_swapped.png,1.5,20250727_125424,75.38780092592593,2025-07-27T12:54:24+00:00,2025-10-10T22:12:50+00:00
mojo1_historical,20250725_204502,mojo1,/Users/eriksjaastad/projects/Eros Mate/training data/mojo1_final/_young brunette curly/20250725_204502_stage1.5_face_swapped.png,1.5,20250725_204502,75.07469907407408,2025-07-25T20:45:02+00:00,2025-10-08T22:32:36+00:00
